행정구역,계_0~4세,계_5~9세,계_10~14세,계_15~19세,계_20~24세,계_25~29세,계_30~34세,계_35~39세,계_40~44세,계_45~49세,계_50~54세,계_55~59세,계_60~64세,계_65~69세,계_70~74세,계_75~79세,계_80~84세,계_85~89세,계_90~94세,계_95~99세,계_100세 이상,남_총인구수,남_연령구간인구수,남_0~4세,남_5~9세,남_10~14세,남_15~19세,남_20~24세,남_25~29세,남_30~34세,남_35~39세,남_40~44세,남_45~49세,남_50~54세,남_55~59세,남_60~64세,남_65~69세,남_70~74세,남_75~79세,남_80~84세,남_85~89세,남_90~94세,남_95~99세,남_100세 이상,여_총인구수,여_연령구간인구수,여_0~4세,여_5~9세,여_10~14세,여_15~19세,여_20~24세,여_25~29세,여_30~34세,여_35~39세,여_40~44세,여_45~49세,여_50~54세,여_55~59세,여_60~64세,여_65~69세,여_70~74세,여_75~79세,여_80~84세,여_85~89세,여_90~94세,여_95~99세,여_100세 이상
충청북도 진천군 (4375000000),"3,245","4,331","4,329","4,072","4,274","5,004","5,108","6,382","6,948","6,779","7,166","6,555","6,563","4,536","2,985","2,523","2,271","1,281",401,79,13,"44,526","44,526","1,703","2,214","2,219","2,134","2,412","2,958","2,893","3,445","3,709","3,764","3,921","3,602","3,442","2,261","1,485","1,054",868,348,80,11,3,"40,319","40,319","1,542","2,117","2,110","1,938","1,862","2,046","2,215","2,937","3,239","3,015","3,245","2,953","3,121","2,275","1,500","1,469","1,403",933,321,68,10
충청북도 괴산군 (4376000000),487,763,913,"1,000","1,441","1,276","1,040","1,250","1,578","2,090","3,105","3,919","5,134","3,967","2,832","2,510","2,217","1,236",380,72,19,"19,136","19,136",244,387,436,540,831,773,606,705,868,"1,256","1,759","2,069","2,788","2,048","1,452","1,046",862,365,81,15,5,"18,093","18,093",243,376,477,460,610,503,434,545,710,834,"1,346","1,850","2,346","1,919","1,380","1,464","1,355",871,299,57,14
충청북도 음성군 (4377000000),"2,203","3,401","3,676","3,807","4,512","4,729","4,247","5,005","6,179","7,228","8,624","8,738","9,474","6,724","4,346","3,795","3,068","1,730",599,126,20,"48,802","48,802","1,117","1,806","1,920","1,976","2,536","2,808","2,464","2,732","3,427","4,075","4,829","4,827","5,137","3,479","2,151","1,710","1,137",502,134,29,6,"43,429","43,429","1,086","1,595","1,756","1,831","1,976","1,921","1,783","2,273","2,752","3,153","3,795","3,911","4,337","3,245","2,195","2,085","1,931","1,228",465,97,14
충청북도 단양군 (4380000000),452,685,874,"1,036","1,118",986,852,"1,028","1,328","1,809","2,465","2,948","3,874","2,815","2,045","1,781","1,445",737,238,48,14,"14,475","14,475",239,359,462,557,640,579,477,534,731,995,"1,316","1,578","1,975","1,478",968,741,555,214,60,14,3,"14,103","14,103",213,326,412,479,478,407,375,494,597,814,"1,149","1,370","1,899","1,337","1,077","1,040",890,523,178,34,11
충청남도  (4400000000),"68,998","97,850","102,516","98,770","118,759","121,496","118,803","143,465","159,321","167,050","175,640","161,998","169,991","124,431","95,651","75,841","63,338","38,923","12,210","2,635",519,"1,082,654","1,082,654","35,390","50,024","53,182","51,235","64,529","68,401","64,826","76,471","85,121","89,009","93,564","85,396","86,397","61,392","45,899","32,389","23,591","12,282","2,954",511,91,"1,035,551","1,035,551","33,608","47,826","49,334","47,535","54,230","53,095","53,977","66,994","74,200","78,041","82,076","76,602","83,594","63,039","49,752","43,452","39,747","26,641","9,256","2,124",428
충청남도 천안시 (4413000000),"25,734","34,469","34,473","33,321","45,070","50,566","48,313","54,695","56,091","55,573","55,928","46,983","41,926","26,109","17,558","12,851","10,001","5,592","1,822",423,86,"335,996","335,996","13,306","17,536","17,829","17,212","23,316","27,041","25,827","28,995","29,648","28,305","28,518","24,326","21,474","12,963","8,274","5,521","3,702","1,692",410,81,20,"321,588","321,588","12,428","16,933","16,644","16,109","21,754","23,525","22,486","25,700","26,443","27,268","27,410","22,657","20,452","13,146","9,284","7,330","6,299","3,900","1,412",342,66
충청남도 천안시 동남구 (4413100000),"7,864","11,632","12,968","12,776","17,444","17,386","14,653","17,502","20,358","21,764","22,744","20,485","20,015","13,164","9,004","6,615","5,275","2,986",971,236,49,"129,756","129,756","4,077","5,969","6,717","6,680","9,077","9,395","7,882","9,047","10,548","11,229","11,542","10,453","10,197","6,536","4,322","2,874","2,019",906,224,50,12,"126,135","126,135","3,787","5,663","6,251","6,096","8,367","7,991","6,771","8,455","9,810","10,535","11,202","10,032","9,818","6,628","4,682","3,741","3,256","2,080",747,186,37
충청남도 천안시 서북구 (4413300000),"17,870","22,837","21,505","20,545","27,626","33,180","33,660","37,193","35,733","33,809","33,184","26,498","21,911","12,945","8,554","6,236","4,726","2,606",851,187,37,"206,240","206,240","9,229","11,567","11,112","10,532","14,239","17,646","17,945","19,948","19,100","17,076","16,976","13,873","11,277","6,427","3,952","2,647","1,683",786,186,31,8,"195,453","195,453","8,641","11,270","10,393","10,013","13,387","15,534","15,715","17,245","16,633","16,733","16,208","12,625","10,634","6,518","4,602","3,589","3,043","1,820",665,156,29
충청남도 공주시 (4415000000),"2,212","3,299","3,816","4,200","5,902","5,054","4,293","4,878","6,030","7,018","8,716","9,195","10,899","8,327","6,321","5,091","4,397","2,785",915,184,40,"51,769","51,769","1,135","1,722","1,975","2,151","3,079","2,922","2,369","2,559","3,175","3,707","4,569","4,661","5,488","4,167","3,152","2,109","1,634",902,238,47,8,"51,803","51,803","1,077","1,577","1,841","2,049","2,823","2,132","1,924","2,319","2,855","3,311","4,147","4,534","5,411","4,160","3,169","2,982","2,763","1,883",677,137,32
충청남도 보령시 (4418000000),"2,367","3,444","4,019","4,111","4,877","4,403","3,976","5,105","6,141","7,403","8,203","8,420","9,910","7,867","6,370","4,897","4,045","2,384",775,163,42,"50,211","50,211","1,212","1,734","2,042","2,160","2,853","2,632","2,191","2,747","3,376","4,066","4,456","4,433","4,953","3,782","2,984","2,096","1,529",749,184,25,7,"48,711","48,711","1,155","1,710","1,977","1,951","2,024","1,771","1,785","2,358","2,765","3,337","3,747","3,987","4,957","4,085","3,386","2,801","2,516","1,635",591,138,35
충청남도 아산시 (4420000000),"12,938","19,028","18,938","16,124","17,893","19,471","20,907","27,414","30,059","27,451","25,859","21,393","20,155","13,937","10,215","7,996","6,316","3,649","1,141",230,56,"166,942","166,942","6,598","9,818","9,758","8,277","9,803","11,036","11,244","14,571","16,318","14,895","14,013","11,557","10,283","6,825","4,754","3,377","2,372","1,127",255,52,9,"154,228","154,228","6,340","9,210","9,180","7,847","8,090","8,435","9,663","12,843","13,741","12,556","11,846","9,836","9,872","7,112","5,461","4,619","3,944","2,522",886,178,47
충청남도 서산시 (4421000000),"6,317","8,742","8,872","8,260","9,217","9,778","10,095","11,707","13,462","14,354","15,011","13,400","13,715","9,620","7,810","6,167","5,021","3,346","1,014",259,38,"91,883","91,883","3,203","4,486","4,638","4,458","5,330","6,007","5,801","6,307","7,164","7,710","8,098","7,167","6,986","4,724","3,857","2,727","1,940","1,013",227,37,3,"84,322","84,322","3,114","4,256","4,234","3,802","3,887","3,771","4,294","5,400","6,298","6,644","6,913","6,233","6,729","4,896","3,953","3,440","3,081","2,333",787,222,35
충청남도 논산시 (4423000000),"2,882","4,090","4,676","4,916","5,747","5,288","4,799","5,520","6,768","8,184","9,514","9,782","11,572","9,119","7,069","5,861","5,080","3,134",997,194,47,"57,624","57,624","1,479","2,066","2,431","2,519","3,244","2,928","2,625","2,850","3,527","4,414","5,096","5,092","5,935","4,538","3,343","2,469","1,777",986,261,36,8,"57,615","57,615","1,403","2,024","2,245","2,397","2,503","2,360","2,174","2,670","3,241","3,770","4,418","4,690","5,637","4,581","3,726","3,392","3,303","2,148",736,158,39
충청남도 계룡시 (4425000000),"1,408","2,450","3,018","3,244","2,828","2,059","1,812","2,822","3,805","4,493","4,121","2,972","2,805","1,957","1,212",880,685,442,155,38,3,"21,529","21,529",720,"1,211","1,609","1,678","1,554","1,187",946,"1,378","1,776","2,257","2,049","1,515","1,336",957,588,361,245,122,32,8,0,"21,680","21,680",688,"1,239","1,409","1,566","1,274",872,866,"1,444","2,029","2,236","2,072","1,457","1,469","1,000",624,519,440,320,123,30,3
충청남도 당진시 (4427000000),"6,235","8,706","8,570","7,152","7,820","8,216","9,633","12,528","13,642","13,310","13,633","12,492","12,995","9,322","7,462","5,825","5,072","3,106",965,202,51,"88,753","88,753","3,189","4,401","4,504","3,756","4,392","4,984","5,616","7,075","7,625","7,529","7,754","6,967","6,860","4,638","3,648","2,596","1,925",994,246,45,9,"78,184","78,184","3,046","4,305","4,066","3,396","3,428","3,232","4,017","5,453","6,017","5,781","5,879","5,525","6,135","4,684","3,814","3,229","3,147","2,112",719,157,42
충청남도 금산군 (4471000000),943,"1,476","2,131","2,102","2,102","1,725","1,471","2,021","2,631","3,417","4,251","4,619","5,700","4,563","3,656","3,150","2,706","1,581",466,106,9,"25,651","25,651",452,776,"1,126","1,083","1,209",996,770,"1,066","1,399","1,933","2,348","2,562","2,923","2,333","1,801","1,326",923,493,112,19,1,"25,175","25,175",491,700,"1,005","1,019",893,729,701,955,"1,232","1,484","1,903","2,057","2,777","2,230","1,855","1,824","1,783","1,088",354,87,8
충청남도 부여군 (4476000000),992,"1,788","2,069","2,451","2,902","2,287","1,850","2,361","2,971","3,935","4,909","5,490","7,340","6,172","5,050","4,292","3,908","2,529",824,180,36,"31,985","31,985",530,948,"1,111","1,283","1,635","1,372","1,014","1,277","1,604","2,155","2,680","2,823","3,707","3,073","2,407","1,821","1,458",839,220,24,4,"32,351","32,351",462,840,958,"1,168","1,267",915,836,"1,084","1,367","1,780","2,229","2,667","3,633","3,099","2,643","2,471","2,450","1,690",604,156,32
충청남도 서천군 (4477000000),866,"1,328","1,550","1,827","1,993","1,697","1,452","1,804","2,438","3,151","3,933","4,337","5,499","4,964","4,415","3,597","3,264","2,061",741,131,24,"25,223","25,223",441,672,787,946,"1,155",972,819,"1,004","1,320","1,724","2,190","2,342","2,746","2,378","2,118","1,484","1,225",688,181,30,1,"25,849","25,849",425,656,763,881,838,725,633,800,"1,118","1,427","1,743","1,995","2,753","2,586","2,297","2,113","2,039","1,373",560,101,23
충청남도 청양군 (4479000000),477,730,884,"1,096","1,438","1,089",914,"1,053","1,254","1,762","2,287","2,780","3,534","2,902","2,418","2,051","1,987","1,366",394,68,9,"15,488","15,488",245,366,464,576,825,660,540,565,734,"1,039","1,302","1,484","1,824","1,483","1,196",861,731,469,95,26,3,"15,005","15,005",232,364,420,520,613,429,374,488,520,723,985,"1,296","1,710","1,419","1,222","1,190","1,256",897,299,42,6
충청남도 홍성군 (4480000000),"3,153","4,383","4,842","4,692","5,004","4,424","4,471","5,698","6,681","7,570","7,912","7,733","8,541","6,849","5,556","4,505","3,905","2,574",724,184,24,"49,522","49,522","1,627","2,284","2,464","2,428","2,750","2,466","2,350","2,902","3,426","4,002","4,250","3,989","4,275","3,308","2,628","1,889","1,429",831,178,42,4,"49,903","49,903","1,526","2,099","2,378","2,264","2,254","1,958","2,121","2,796","3,255","3,568","3,662","3,744","4,266","3,541","2,928","2,616","2,476","1,743",546,142,20
충청남도 예산군 (4481000000),"1,335","2,111","2,608","2,990","3,480","3,106","2,740","3,122","3,936","5,298","6,308","6,847","8,429","7,040","5,613","4,686","4,165","2,554",743,140,33,"38,882","38,882",678,"1,107","1,377","1,525","1,973","1,795","1,543","1,694","2,107","2,944","3,502","3,591","4,214","3,501","2,686","1,976","1,622",830,190,21,6,"38,402","38,402",657,"1,004","1,231","1,465","1,507","1,311","1,197","1,428","1,829","2,354","2,806","3,256","4,215","3,539","2,927","2,710","2,543","1,724",553,119,27
충청남도 태안군 (4482500000),"1,139","1,806","2,050","2,284","2,486","2,333","2,077","2,737","3,412","4,131","5,055","5,555","6,971","5,683","4,926","3,992","2,786","1,820",534,133,21,"31,196","31,196",575,897,"1,067","1,183","1,411","1,403","1,171","1,481","1,922","2,329","2,739","2,887","3,393","2,722","2,463","1,776","1,079",547,125,18,8,"30,735","30,735",564,909,983,"1,101","1,075",930,906,"1,256","1,490","1,802","2,316","2,668","3,578","2,961","2,463","2,216","1,707","1,273",409,115,13
전라북도  (4500000000),"48,096","75,083","83,697","88,046","109,878","99,656","83,142","101,626","121,377","141,449","153,640","144,178","151,846","112,961","95,564","75,173","59,036","34,697","11,931","2,294",532,"892,487","892,487","24,523","38,666","43,086","45,820","59,193","54,184","43,507","51,863","62,231","73,096","80,035","74,617","75,751","55,192","44,699","31,194","21,312","10,313","2,708",411,86,"901,415","901,415","23,573","36,417","40,611","42,226","50,685","45,472","39,635","49,763","59,146","68,353","73,605","69,561","76,095","57,769","50,865","43,979","37,724","24,384","9,223","1,883",446
전라북도 전주시 (4511000000),"20,492","31,978","34,555","35,971","47,730","45,470","37,686","43,794","49,895","55,765","57,239","49,459","46,704","33,029","26,109","18,503","13,135","7,146","2,459",451,94,"323,585","323,585","10,513","16,337","17,832","18,609","24,850","24,059","19,330","21,875","24,556","27,202","28,315","24,232","22,249","15,649","11,929","7,975","5,116","2,273",599,70,15,"334,079","334,079","9,979","15,641","16,723","17,362","22,880","21,411","18,356","21,919","25,339","28,563","28,924","25,227","24,455","17,380","14,180","10,528","8,019","4,873","1,860",381,79
전라북도 전주시 완산구 (4511100000),"9,237","14,593","16,443","18,761","25,347","23,900","18,838","20,725","23,806","28,422","30,371","26,772","25,643","18,176","14,291","9,930","7,017","3,946","1,401",268,59,"164,589","164,589","4,789","7,475","8,507","9,818","13,049","12,447","9,705","10,340","11,614","13,446","14,739","12,902","12,019","8,603","6,570","4,241","2,720","1,216",338,40,11,"173,357","173,357","4,448","7,118","7,936","8,943","12,298","11,453","9,133","10,385","12,192","14,976","15,632","13,870","13,624","9,573","7,721","5,689","4,297","2,730","1,063",228,48
전라북도 전주시 덕진구 (4511300000),"11,255","17,385","18,112","17,210","22,383","21,570","18,848","23,069","26,089","27,343","26,868","22,687","21,061","14,853","11,818","8,573","6,118","3,200","1,058",183,35,"158,996","158,996","5,724","8,862","9,325","8,791","11,801","11,612","9,625","11,535","12,942","13,756","13,576","11,330","10,230","7,046","5,359","3,734","2,396","1,057",261,30,4,"160,722","160,722","5,531","8,523","8,787","8,419","10,582","9,958","9,223","11,534","13,147","13,587","13,292","11,357","10,831","7,807","6,459","4,839","3,722","2,143",797,153,31
전라북도 전주시효자출장소 (4511800000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도 군산시 (4513000000),"7,593","12,482","13,240","13,124","15,608","13,881","12,481","17,168","20,376","22,509","23,167","20,779","22,159","16,451","13,389","9,805","6,593","3,740","1,372",255,54,"134,743","134,743","3,818","6,397","6,827","6,795","8,574","7,681","6,591","8,920","10,677","11,798","12,254","10,902","10,947","8,124","6,324","4,210","2,446","1,119",297,33,9,"131,483","131,483","3,775","6,085","6,413","6,329","7,034","6,200","5,890","8,248","9,699","10,711","10,913","9,877","11,212","8,327","7,065","5,595","4,147","2,621","1,075",222,45
전라북도 익산시 (4514000000),"6,902","11,222","12,837","14,529","18,968","16,625","12,695","15,060","18,565","22,339","24,896","23,512","24,392","17,614","14,138","10,736","7,925","4,731","1,747",329,74,"139,445","139,445","3,489","5,835","6,493","7,519","10,205","9,183","6,826","7,697","9,522","11,389","12,601","12,076","12,196","8,579","6,684","4,516","2,764","1,399",394,64,14,"140,391","140,391","3,413","5,387","6,344","7,010","8,763","7,442","5,869","7,363","9,043","10,950","12,295","11,436","12,196","9,035","7,454","6,220","5,161","3,332","1,353",265,60
전라북도 익산시함열출장소 (4514500000),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전라북도 정읍시 (4518000000),"2,311","3,724","4,462","4,962","5,743","4,673","3,852","4,733","6,314","8,040","9,153","9,000","10,021","7,547","7,084","6,127","5,158","3,187","1,012",183,63,"53,338","53,338","1,174","1,919","2,341","2,661","3,152","2,618","2,077","2,509","3,252","4,285","4,966","4,832","5,197","3,565","3,349","2,408","1,854",914,222,33,10,"54,011","54,011","1,137","1,805","2,121","2,301","2,591","2,055","1,775","2,224","3,062","3,755","4,187","4,168","4,824","3,982","3,735","3,719","3,304","2,273",790,150,53
전라북도 남원시 (4519000000),"2,017","2,773","3,376","3,788","4,090","3,392","2,743","3,429","4,430","5,945","6,846","6,693","7,486","5,937","5,361","4,377","3,900","2,405",817,190,32,"39,269","39,269","1,063","1,469","1,761","1,932","2,319","1,868","1,412","1,746","2,186","3,126","3,648","3,591","3,779","2,922","2,456","1,683","1,383",683,193,43,6,"40,758","40,758",954,"1,304","1,615","1,856","1,771","1,524","1,331","1,683","2,244","2,819","3,198","3,102","3,707","3,015","2,905","2,694","2,517","1,722",624,147,26
전라북도 김제시 (4521000000),"1,559","2,515","2,952","3,120","3,698","3,316","2,825","3,560","4,282","5,402","6,417","6,923","8,349","6,609","6,148","5,208","4,370","2,896","1,016",198,43,"40,424","40,424",792,"1,332","1,482","1,609","2,089","1,827","1,517","1,897","2,378","3,061","3,625","3,712","4,286","3,278","2,857","2,123","1,489",796,221,47,6,"40,982","40,982",767,"1,183","1,470","1,511","1,609","1,489","1,308","1,663","1,904","2,341","2,792","3,211","4,063","3,331","3,291","3,085","2,881","2,100",795,151,37
전라북도 완주군 (4571000000),"2,485","4,051","4,280","3,897","4,539","4,336","3,836","5,173","6,345","6,969","7,612","7,546","8,213","6,338","5,196","4,100","3,366","2,050",699,136,30,"46,854","46,854","1,211","2,041","2,221","2,054","2,572","2,409","2,006","2,659","3,386","3,916","4,282","4,168","4,301","3,280","2,588","1,740","1,213",619,162,20,6,"44,343","44,343","1,274","2,010","2,059","1,843","1,967","1,927","1,830","2,514","2,959","3,053","3,330","3,378","3,912","3,058","2,608","2,360","2,153","1,431",537,116,24
전라북도 진안군 (4572000000),588,614,782,852,"1,003",868,692,854,"1,110","1,490","2,020","2,386","2,884","2,229","2,028","1,757","1,588",966,320,65,17,"12,698","12,698",308,279,408,458,576,495,346,404,642,875,"1,156","1,332","1,569","1,168",971,777,547,296,73,13,5,"12,415","12,415",280,335,374,394,427,373,346,450,468,615,864,"1,054","1,315","1,061","1,057",980,"1,041",670,247,52,12
전라북도 무주군 (4573000000),415,693,910,883,909,812,762,898,"1,195","1,574","1,980","2,150","2,539","2,038","1,686","1,627","1,537",878,273,67,23,"11,875","11,875",214,382,459,449,513,443,422,489,644,894,"1,113","1,169","1,330","1,039",762,635,561,278,62,13,4,"11,974","11,974",201,311,451,434,396,369,340,409,551,680,867,981,"1,209",999,924,992,976,600,211,54,19
전라북도 장수군 (4574000000),426,645,854,797,875,722,667,797,"1,111","1,351","1,719","1,919","2,352","2,006","1,660","1,442","1,349",848,249,53,12,"10,906","10,906",223,339,439,401,489,418,341,415,642,752,982,"1,070","1,222","1,010",814,557,447,270,61,12,2,"10,948","10,948",203,306,415,396,386,304,326,382,469,599,737,849,"1,130",996,846,885,902,578,188,41,10
전라북도 임실군 (4575000000),654,653,820,812,"1,005",983,866,955,"1,201","1,514","2,119","2,431","2,875","2,300","2,275","1,965","1,929","1,126",387,66,16,"13,800","13,800",361,332,427,436,596,580,479,525,731,911,"1,200","1,384","1,591","1,241","1,074",796,686,339,94,13,4,"13,152","13,152",293,321,393,376,409,403,387,430,470,603,919,"1,047","1,284","1,059","1,201","1,169","1,243",787,293,53,12
전라북도 순창군 (4577000000),640,735,"1,036","1,134","1,108",876,813,"1,031","1,382","1,815","2,138","2,245","2,803","2,167","2,087","1,996","1,806",999,317,70,21,"13,304","13,304",305,410,530,590,617,501,397,501,737,"1,073","1,195","1,195","1,485","1,063",958,733,607,304,89,13,1,"13,915","13,915",335,325,506,544,491,375,416,530,645,742,943,"1,050","1,318","1,104","1,129","1,263","1,199",695,228,57,20
전라북도 고창군 (4579000000),"1,028","1,524","1,916","2,236","2,300","1,842","1,611","2,066","2,576","3,421","4,234","4,575","5,587","4,382","4,272","3,969","3,423","1,980",708,144,32,"26,718","26,718",540,814,"1,016","1,270","1,339","1,049",855,"1,126","1,441","1,954","2,390","2,469","2,830","2,149","2,031","1,582","1,164",556,123,18,2,"27,108","27,108",488,710,900,966,961,793,756,940,"1,135","1,467","1,844","2,106","2,757","2,233","2,241","2,387","2,259","1,424",585,126,30
전라북도 부안군 (4580000000),986,"1,474","1,677","1,941","2,302","1,860","1,613","2,108","2,595","3,315","4,100","4,560","5,482","4,314","4,131","3,561","2,957","1,745",555,87,21,"25,528","25,528",512,780,850,"1,037","1,302","1,053",908,"1,100","1,437","1,860","2,308","2,485","2,769","2,125","1,902","1,459","1,035",467,118,19,2,"25,856","25,856",474,694,827,904,"1,000",807,705,"1,008","1,158","1,455","1,792","2,075","2,713","2,189","2,229","2,102","1,922","1,278",437,68,19
전라남도  (4600000000),"52,620","74,559","80,940","83,537","103,287","93,925","79,708","101,410","119,269","135,639","156,144","155,685","162,221","118,617","104,034","87,218","74,263","39,204","13,784","3,037",597,"925,751","925,751","26,948","37,899","41,667","43,545","57,651","52,724","42,103","53,219","63,140","73,076","84,605","83,275","82,919","58,905","49,145","35,522","25,454","10,573","2,809",507,65,"913,947","913,947","25,672","36,660","39,273","39,992","45,636","41,201","37,605","48,191","56,129","62,563","71,539","72,410","79,302","59,712","54,889","51,696","48,809","28,631","10,975","2,530",532
전라남도 목포시 (4611000000),"6,120","10,925","12,075","11,888","14,510","12,211","9,928","14,409","17,523","19,006","18,859","17,143","17,348","12,301","9,968","7,715","5,165","2,271",792,182,40,"109,762","109,762","3,181","5,627","6,187","6,055","7,918","6,562","5,138","7,419","9,049","9,809","9,721","8,470","8,267","5,803","4,518","3,314","1,858",652,173,35,6,"110,617","110,617","2,939","5,298","5,888","5,833","6,592","5,649","4,790","6,990","8,474","9,197","9,138","8,673","9,081","6,498","5,450","4,401","3,307","1,619",619,147,34
전라남도 여수시 (4613000000),"8,239","11,841","12,576","13,325","16,991","16,306","13,377","16,731","19,428","21,727","24,261","23,898","24,037","17,763","14,609","10,218","7,389","3,653","1,417",282,55,"141,900","141,900","4,229","5,952","6,412","6,988","9,480","9,448","7,282","8,874","10,222","11,533","12,831","12,546","11,874","8,759","7,021","4,410","2,713","1,012",267,40,7,"136,223","136,223","4,010","5,889","6,164","6,337","7,511","6,858","6,095","7,857","9,206","10,194","11,430","11,352","12,163","9,004","7,588","5,808","4,676","2,641","1,150",242,48
전라남도 순천시 (4615000000),"9,399","13,521","14,537","15,118","19,117","17,978","14,996","18,039","20,129","22,663","25,604","23,570","21,803","14,055","11,015","8,134","6,631","3,863","1,340",308,63,"140,682","140,682","4,845","6,869","7,533","7,927","10,378","9,813","7,842","9,148","9,964","11,150","12,767","12,023","10,923","7,047","5,266","3,384","2,392","1,074",282,49,6,"141,201","141,201","4,554","6,652","7,004","7,191","8,739","8,165","7,154","8,891","10,165","11,513","12,837","11,547","10,880","7,008","5,749","4,750","4,239","2,789","1,058",259,57
전라남도 나주시 (4617000000),"4,402","5,645","5,110","4,544","5,585","6,755","6,683","7,872","8,498","8,173","8,484","8,820","9,653","7,051","6,081","5,356","4,457","2,402",850,184,31,"58,823","58,823","2,279","2,886","2,617","2,348","2,980","3,542","3,463","4,151","4,558","4,667","4,689","4,816","4,972","3,521","2,876","2,157","1,453",633,160,49,6,"57,813","57,813","2,123","2,759","2,493","2,196","2,605","3,213","3,220","3,721","3,940","3,506","3,795","4,004","4,681","3,530","3,205","3,199","3,004","1,769",690,135,25
전라남도 광양시 (4623000000),"5,483","7,451","7,819","7,933","10,149","9,589","8,147","9,959","11,137","12,121","15,945","13,242","11,126","6,739","4,937","3,359","3,004","1,729",656,156,18,"78,693","78,693","2,807","3,779","4,029","4,136","5,805","5,679","4,432","5,297","5,871","6,136","8,462","7,468","5,865","3,532","2,407","1,345","1,028",472,123,18,2,"72,006","72,006","2,676","3,672","3,790","3,797","4,344","3,910","3,715","4,662","5,266","5,985","7,483","5,774","5,261","3,207","2,530","2,014","1,976","1,257",533,138,16
전라남도 담양군 (4671000000),"1,020","1,260","1,381","1,623","2,482","2,188","1,674","1,967","2,203","2,991","3,855","4,331","4,913","3,706","3,329","2,899","2,590","1,386",486,113,24,"23,553","23,553",488,639,737,822,"1,511","1,256",848,"1,019","1,226","1,758","2,141","2,380","2,602","1,884","1,623","1,181",908,395,112,23,0,"22,868","22,868",532,621,644,801,971,932,826,948,977,"1,233","1,714","1,951","2,311","1,822","1,706","1,718","1,682",991,374,90,24
전라남도 곡성군 (4672000000),381,633,827,"1,099","1,221","1,049",760,893,"1,184","1,757","2,273","2,539","3,002","2,221","2,160","2,004","2,037","1,230",436,113,16,"13,660","13,660",192,327,450,590,650,605,395,475,651,983,"1,287","1,391","1,621","1,127","1,011",783,677,342,83,17,3,"14,175","14,175",189,306,377,509,571,444,365,418,533,774,986,"1,148","1,381","1,094","1,149","1,221","1,360",888,353,96,13
전라남도 구례군 (4673000000),382,666,846,923,"1,063",822,664,889,"1,153","1,599","2,169","2,345","2,779","2,049","1,949","1,868","1,708",896,334,61,16,"12,260","12,260",185,326,438,493,576,462,321,499,607,890,"1,250","1,265","1,431",973,920,691,592,257,72,9,3,"12,921","12,921",197,340,408,430,487,360,343,390,546,709,919,"1,080","1,348","1,076","1,029","1,177","1,116",639,262,52,13
전라남도 고흥군 (4677000000),"1,112","1,407","1,705","2,003","2,315","1,718","1,510","1,978","2,652","3,444","4,568","5,415","7,005","5,940","6,107","5,237","4,973","2,822","1,046",235,47,"30,749","30,749",539,715,906,"1,080","1,335","1,024",818,"1,077","1,476","2,051","2,666","2,948","3,557","2,893","2,851","2,095","1,681",759,237,36,5,"32,490","32,490",573,692,799,923,980,694,692,901,"1,176","1,393","1,902","2,467","3,448","3,047","3,256","3,142","3,292","2,063",809,199,42
전라남도 보성군 (4678000000),688,930,"1,195","1,352","1,619","1,222","1,050","1,344","1,766","2,257","2,995","3,531","4,225","3,495","3,405","3,112","3,084","1,735",626,136,23,"19,430","19,430",358,494,584,720,927,707,575,707,967,"1,322","1,727","1,921","2,218","1,707","1,603","1,208","1,053",476,129,24,3,"20,360","20,360",330,436,611,632,692,515,475,637,799,935,"1,268","1,610","2,007","1,788","1,802","1,904","2,031","1,259",497,112,20
전라남도 화순군 (4679000000),"1,323","2,006","2,498","3,051","3,658","2,969","2,126","2,462","3,404","4,581","5,612","5,613","5,839","4,066","3,781","3,555","3,175","1,714",542,125,31,"30,722","30,722",666,"1,029","1,310","1,572","1,995","1,617","1,083","1,251","1,709","2,410","3,069","3,047","3,128","2,103","1,742","1,351","1,031",451,128,27,3,"31,409","31,409",657,977,"1,188","1,479","1,663","1,352","1,043","1,211","1,695","2,171","2,543","2,566","2,711","1,963","2,039","2,204","2,144","1,263",414,98,28
전라남도 장흥군 (4680000000),801,"1,096","1,230","1,426","1,662","1,311","1,174","1,419","1,724","2,193","2,957","3,228","3,733","2,979","2,806","2,557","2,491","1,485",543,125,23,"17,978","17,978",407,545,636,764,940,743,617,758,950,"1,207","1,665","1,728","1,892","1,459","1,283","1,008",857,389,107,20,3,"18,985","18,985",394,551,594,662,722,568,557,661,774,986,"1,292","1,500","1,841","1,520","1,523","1,549","1,634","1,096",436,105,20
